price,market_cap,total_volume
4.64,6574975822.217456,218974612.32978004
4.64,6563327002.476932,217108074.0751975
4.81,6823793554.4206085,207077263.91677284
4.89,6937638480.983736,206699112.73634675
4.81,6817551983.838758,144375542.85164598
4.77,6762870349.145038,153498562.91507456
4.43,6288362193.926936,216458848.11186978
4.16,5901985164.315201,366033863.09853774
4.1,5823223546.476607,224444346.1165889
4.12,5846574740.483174,216133667.02501205
4.2,5961994750.370411,156497698.2830025
4.14,5881471006.271443,110589174.9449693
4.19,5950729320.934547,100631199.951144
4.14,5899169457.285362,189494779.4474912
4.1,5831240275.164508,158547036.06278628
4.02,5725703769.770611,147579337.25832778
4.06,5780152440.571236,137373956.83048812
4.17,5935620054.043801,131693730.115749
4.21,5990271006.752134,125643376.05208889
4.15,5917066546.979775,109120378.30271783
4.37,6227423708.021085,191989240.04980278
4.4,6275335003.278611,254954986.89595345
4.32,6146468253.686005,167543236.59508747
4.19,5971731035.475722,136341688.42203593
4.3,6142928669.155428,145556810.97772735
4.44,6328210175.331673,159998356.9001006
4.56,6512071314.912645,160720210.5376804
4.38,6246861934.581365,174205962.33980542
4.32,6170396046.744133,160827160.5408277
4.21,6011526029.540705,161908785.99479997
4.21,6005060043.145219,148814449.64814654
3.98,5685366123.703128,229091387.8945665
4.03,5763209435.433616,158709375.96344784
4.12,5893928074.217013,127142949.04646264
4.13,5903891898.662482,194132657.94198686
4.19,5986963997.058282,222742356.0193516
4.19,6000564888.864226,182686754.01072106
3.96,5668382145.024319,222237711.5981779
3.91,5593672353.77572,209722623.1964392
3.9,5585348280.061481,131230367.87879281
3.79,5438835979.268123,216215151.77498662
3.75,5367646218.51113,148688397.16413066
3.85,5523864982.22601,161319368.16203183
4.12,5907704345.107553,382727348.78272456
4.16,5969119557.929986,280608815.34866387
4.33,6219936247.387929,426495541.97726333
4.62,6638693302.809183,316886003.2283409
5.23,7485402310.754487,1382060009.7774332
5.72,8218773322.764195,893227242.6286404
5.36,7689160825.7577505,1160372989.600832
5.09,7321098069.287153,845861301.3546714
4.77,6834306611.2133255,551454928.6385021
5.14,7389514730.948136,505663289.41462976
5.76,8273126743.309964,784150867.2592056
5.41,7785638849.506375,843684060.0619962
6.03,8680221108.04452,817447523.5245076
5.8,8349661755.924848,488269957.8959976
5.74,8267138566.641188,687052869.1167806
5.94,8549820682.898639,710691533.643031
6.65,9565626203.58589,1118565130.8956618
8.48,12215884515.185947,4029832919.4948745
8.83,12732678850.312284,3709827995.529082
8.23,11867066732.072239,1550682343.1341267
8.06,11618151585.811499,1214932052.7371671
8.47,12896610642.448778,1018435760.7287474
8.63,13124787354.836481,819754943.0331972
9.01,13694855320.51304,976203391.5740867
8.99,13682093690.490286,1093033294.820603
9.28,14137401931.612473,923956917.545601
10.03,15262225003.09778,2050161865.9738822
9.86,15013385163.692583,2223009230.6595035
10.54,16041273604.544933,2885366549.389038
10.45,15917502411.847876,2007633321.8874154
10.73,16376367854.135273,1264054442.1907916
10.64,16226431918.98235,924742704.82399
10.44,15853661039.376863,820777740.2858694
8.51,12949449299.629826,1756719957.9662366
8.38,12749655350.51308,1511755290.733215
9.01,13711010810.045668,1075653941.8503048
9.02,13706190552.902285,1199636035.5106063
9.05,13769112072.590532,809569054.7612625
8.55,13012728999.45761,720935407.6425378
9.05,13785207920.906765,803662092.7429317
8.76,13337128138.168434,768727744.2477787
8.45,12878507706.81956,564741492.5826279
7.7,11707143326.348003,774908737.368565
7.0,10657595016.082409,1086124837.3431895
7.29,11078107314.74053,1021964776.574753
6.95,10565319086.16197,612239126.334296
6.82,10405418079.72872,449643193.4693805
7.36,11198191077.047335,539764573.1630613
7.57,11502434769.709047,433986333.65930504
7.5,11404977617.909649,315870291.77983326
6.93,10550541237.70679,347681284.73239106
6.9,10494234540.429379,345531732.7427434
7.1,10818859505.226204,230066007.55433878
6.87,10454538701.531261,216122629.28481495
6.69,10180469171.934875,352231593.47555494
6.64,10113205041.606663,229365519.02511942
7.01,10673880771.136974,247755276.023767
7.17,10925492560.691156,309000049.86166275
7.74,11786401551.44405,539342851.0007907
7.7,11719603154.711365,304399076.52685183
7.68,11696424181.763823,245541864.96516636
7.77,11809488519.493692,402221938.4758566
7.03,10709719845.805716,512352289.4426803
6.76,10308805173.026878,493087506.0609287
6.56,9985953661.4076,330378379.6866445
6.74,10258898575.306026,311277186.664298
6.74,10273206164.987535,165093899.43001288
6.63,10085471431.647745,141543566.96166176
6.4,9735593370.65794,399012512.27772474
6.66,10136708461.664795,213141307.09348366
7.19,10941510167.68485,506165482.3495175
7.15,10886579923.225327,435658805.8921994
7.52,11444703914.229948,367309752.27145755
7.04,10705441847.753828,354931037.1694506
6.24,9523912507.617281,615856568.5571425
6.36,9691552864.681587,748140884.7915807
6.65,10112321524.916006,355769051.90993965
6.43,9802217007.917845,215503293.61278078
6.36,9680646881.865334,268918550.8118405
6.31,9601474625.86851,201623527.31635818
6.33,9651783029.683846,146294895.85328555
6.17,9404571220.21518,154059437.48463467
5.93,9025181980.861689,452139396.39279044
5.65,8606215219.61829,201672906.7991726
5.77,8793594566.81048,229114317.70305637
6.13,9343681874.13122,207475144.7617954
6.31,9611360305.66858,347310792.4039814
5.93,9049371864.833912,253834326.48964158
5.12,7764707208.756016,565973916.4663827
5.18,7885714795.996913,1201970826.6236064
4.75,7208967694.395373,467716839.7706376
4.69,7142942589.457484,218308685.8650339
4.49,6817803070.035865,202447674.1211231
4.58,6968628859.018911,322886400.49758315
4.75,7231054164.180392,169859745.00550616
4.77,7259103275.373556,220104817.88435477
4.84,7361656486.188615,214764530.49897516
4.81,7321258576.528013,276490330.2341074
5.23,7960471222.121489,431734813.7945228
5.13,7808489480.900191,223466503.9197794
5.19,7903655004.709913,221686215.68924507
5.02,7646937382.360792,150692647.2874577
4.88,7419103570.427069,127691841.03065348
4.88,7431095473.96506,196132141.52568948
4.76,7240860520.048352,238668344.67676988
4.88,7423868323.526048,164700250.7311589
5.05,7688607035.4641,205826300.23823163
5.06,7696888009.362756,326841354.65206677
5.05,7681254799.631484,197199332.41423583
4.96,7550802937.692735,125624894.48164535
4.41,6704630791.655081,277983570.78092974
4.63,7048941234.924034,456052622.4782715
4.74,7214672121.11047,313517702.667414
4.93,7504462036.486724,351623459.64350885
4.72,7184693286.174946,406798078.4782478
4.66,7095576317.576056,172411504.21341795
5.19,7907459756.219945,351404757.2591509
4.48,6827889952.6983185,354542177.62483937
4.33,6587069005.413009,358004086.9836772
4.53,6890816388.620815,197701711.15388465
4.44,6757953126.93353,198956189.0998639
4.41,6706313318.2032995,286605234.2300235
4.29,6530742364.192004,130249257.56892297
4.02,6098037561.853455,202616257.9042693
3.89,5924388799.717715,261453381.28991136
4.04,6154251436.853501,277788376.2046481
3.98,6047740002.912908,212556427.04158702
3.98,6049778882.121537,195642781.95121038
4.18,6363382819.276579,221637052.71454492
4.35,6627033883.790361,158730273.71130607
4.3,6537879795.972363,155877082.88105214
4.38,6667053075.981273,177325414.8427803
4.46,6793936451.837484,173999552.6785384
4.55,6912321086.645029,240430398.92310542
4.4,6691250461.656311,165791500.482504
4.49,6841117440.048836,198758693.2095648
4.44,6755932806.918282,134612578.0779071
4.5,6853376058.674074,134757520.99115974
4.61,7017401849.992181,212406756.34480095
4.64,7064875940.825395,150821706.61648
4.69,7145283988.592348,200688744.7669101
4.63,7051220649.739965,189869115.18316212
4.29,6525848247.071601,208166543.03374335
4.05,6151156566.893912,154746554.63838288
4.03,6138219211.805758,123335193.92868994
4.02,6124705047.020388,156442506.01143336
4.18,6362627829.429223,157721985.3016019
3.97,6038331549.223662,260135998.9388796
4.05,6169970408.399564,194927424.80435094
4.03,6136160273.910595,173903471.2592361
3.96,6028214527.093344,105934824.13301788
3.68,5586380627.041218,184276862.6839877
3.59,5486378099.970806,427100562.6823301
3.37,5121979456.064432,193841629.9674787
3.64,5533840258.842209,317717075.92116654
3.47,5277619664.534353,219360831.0606997
3.56,5413032038.313501,154887087.36880568
3.71,5656164602.021083,127892822.19230707
3.65,5545337783.218219,172374035.31874913
3.67,5587942110.695048,159814261.13010684
3.52,5360109679.45148,140660296.09425417
3.56,5412830220.899554,140409183.4525263
3.63,5525468376.487839,126658899.60456094
3.68,5608887034.310444,87183285.93808618
3.88,5899249077.365679,107542205.44830623
3.89,5920737777.271451,143944351.49122065
